SEQN,split
133284,train
133285,train
133298,train
133302,train
133305,train
133310,train
133312,train
133316,train
133324,validation
133330,train
133335,validation
133336,validation
133337,train
133340,train
133342,test
133353,train
133358,train
133369,train
133370,test
133378,train
133382,train
133383,train
133390,validation
133396,train
133399,train
133400,validation
133406,train
133427,train
133434,train
133439,train
133441,train
133444,train
133457,train
133465,validation
133470,validation
133476,train
133477,train
133478,train
133489,test
133511,test
133520,train
133524,train
133525,train
133535,train
133538,train
133543,test
133547,train
133548,train
133551,validation
133555,train
133560,train
133569,train
133583,train
133590,validation
133595,train
133598,train
133613,train
133617,validation
133621,train
133624,train
133638,test
133640,train
133641,test
133646,train
133648,test
133659,validation
133669,train
133676,train
133680,train
133683,train
133685,test
133693,train
133700,test
133702,validation
133712,train
133717,train
133723,test
133725,train
133726,train
133730,train
133742,train
133751,validation
133760,train
133765,train
133769,train
133772,train
133773,train
133779,train
133780,train
133784,test
133791,train
133799,test
133801,train
133810,train
133817,train
133831,train
133835,train
133843,train
133849,train
133852,validation
133857,train
133858,train
133859,train
133868,train
133870,test
133895,train
133909,train
133911,train
133915,train
133921,train
133934,train
133936,train
133937,train
133938,test
133940,train
133943,test
133949,train
133950,train
133954,validation
133956,train
133981,test
133992,validation
133997,train
134002,train
134003,train
134006,train
134007,train
134010,train
134021,train
134022,train
134024,test
134025,train
134029,test
134045,validation
134049,train
134051,validation
134054,train
134071,train
134072,validation
134083,train
134084,test
134089,train
134090,validation
134092,validation
134093,test
134095,train
134105,train
134106,train
134129,validation
134141,train
134146,validation
134151,validation
134166,train
134169,test
134171,train
134172,validation
134184,train
134186,train
134187,train
134201,train
134210,train
134215,train
134217,validation
134218,train
134225,test
134227,train
134233,validation
134234,validation
134235,validation
134237,train
134249,test
134253,train
134254,test
134262,validation
134264,train
134265,validation
134268,test
134269,train
134271,train
134272,train
134280,train
134284,train
134298,train
134311,test
134312,train
134319,train
134323,train
134332,train
134337,validation
134340,train
134350,test
134356,train
134357,train
134366,validation
134373,train
134383,train
134388,test
134389,train
134392,train
134403,train
134404,train
134407,train
134412,train
134414,train
134425,train
134453,train
134457,train
134464,train
134467,test
134489,train
134506,train
134507,train
134511,train
134530,train
134531,train
134533,train
134535,train
134536,train
134538,train
134550,train
134560,train
134564,train
134571,train
134572,validation
134574,train
134582,train
134583,train
134585,train
134590,validation
134591,train
134598,validation
134602,train
134609,train
134612,train
134613,train
134616,train
134617,validation
134625,train
134626,train
134634,train
134645,test
134665,train
134666,train
134675,train
134676,validation
134677,validation
134683,train
134684,train
134712,train
134713,validation
134721,train
134722,train
134724,train
134726,validation
134730,train
134746,train
134753,train
134759,test
134770,train
134771,train
134772,train
134778,validation
134781,train
134791,train
134802,train
134804,train
134805,train
134806,test
134812,test
134821,test
134824,test
134825,train
134826,train
134831,test
134834,train
134845,train
134850,train
134851,train
134859,validation
134874,validation
134879,train
134886,train
134890,train
134896,train
134902,validation
134910,train
134919,train
134922,train
134926,train
134927,train
134928,validation
134929,train
134935,validation
134940,train
134941,train
134945,train
134947,validation
134951,train
134953,train
134962,train
134963,train
134965,train
134967,train
134969,test
134970,test
134972,train
134976,test
134980,train
134992,train
134995,train
134998,validation
135000,test
135003,train
135011,test
135024,train
135035,validation
135036,train
135039,train
135041,test
135043,train
135057,train
135066,train
135069,train
135072,test
135077,train
135078,train
135093,train
135095,train
135101,train
135103,train
135108,train
135124,test
135126,test
135129,train
135131,train
135134,train
135138,test
135142,train
135146,train
135150,validation
135153,train
135156,train
135176,train
135181,train
135189,test
135194,test
135199,train
135203,test
135210,validation
135216,validation
135223,train
135227,test
135238,train
135240,train
135241,train
135249,train
135270,test
135287,train
135300,train
135302,validation
135305,train
135308,test
135312,test
135314,test
135316,train
135318,train
135330,validation
135339,validation
135344,train
135345,train
135346,train
135358,train
135372,train
135375,test
135382,train
135388,train
135389,train
135404,train
135405,train
135407,train
135413,train
135423,train
135427,train
135428,train
135432,validation
135437,train
135447,test
135449,train
135450,train
135466,train
135470,train
135479,validation
135485,validation
135493,train
135498,train
135503,train
135504,validation
135517,validation
135519,train
135535,train
135536,validation
135546,validation
135551,train
135555,train
135556,train
135564,validation
135566,train
135573,train
135598,train
135609,validation
135628,train
135638,train
135643,train
135650,train
135653,train
135654,train
135663,validation
135672,validation
135674,train
135682,train
135688,train
135706,train
135712,validation
135719,train
135733,train
135740,test
135745,train
135747,train
135768,train
135777,train
135781,validation
135790,train
135792,train
135797,train
135823,test
135826,test
135834,train
135844,train
135845,train
135848,test
135849,train
135851,train
135858,validation
135872,test
135876,train
135882,train
135893,train
135898,validation
135906,test
135908,train
135914,test
135920,validation
135928,train
135938,test
135940,train
135941,train
135943,train
135952,train
135955,validation
135957,train
135960,train
135962,train
135964,train
135966,train
135980,train
135982,train
135983,train
135991,test
136000,train
136008,train
136013,train
136018,test
136020,train
136025,test
136036,test
136040,train
136054,train
136055,train
136057,train
136062,train
136079,train
136092,train
136093,test
136094,train
136095,validation
136101,train
136106,train
136110,train
136113,train
136114,train
136115,train
136118,train
136123,train
136132,train
136133,train
136144,validation
136152,train
136153,train
136161,train
136172,train
136185,train
136190,train
136191,test
136198,train
136206,train
136211,train
136222,train
136227,validation
136228,train
136231,train
136241,train
136243,test
136248,train
136251,train
136255,train
136256,test
136257,train
136266,train
136267,train
136271,test
136284,train
136294,train
136298,train
136302,test
136307,validation
136312,train
136318,train
136322,train
136332,train
136336,train
136352,train
136353,validation
136354,train
136364,train
136366,validation
136379,train
136387,validation
136389,validation
136390,train
136392,train
136393,train
136399,train
136401,train
136402,train
136405,train
136409,train
136412,train
136424,train
136432,train
136439,train
136449,train
136452,train
136457,test
136461,train
136462,validation
136469,train
136474,test
136475,train
136496,train
136509,train
136510,test
136512,train
136516,train
136522,train
136527,validation
136536,train
136540,train
136541,train
136547,train
136549,validation
136562,train
136564,train
136573,train
136577,train
136579,train
136586,train
136593,train
136601,train
136609,train
136626,train
136628,train
136636,train
136637,test
136638,train
136642,validation
136643,validation
136644,train
136646,validation
136647,test
136652,test
136657,test
136663,train
136667,train
136670,train
136673,test
136678,test
136685,test
136687,test
136688,train
136693,train
136697,train
136699,train
136703,train
136705,test
136707,train
136714,train
136720,train
136729,train
136731,train
136733,test
136736,test
136740,train
136747,validation
136758,train
136770,train
136774,train
136783,train
136784,validation
136786,test
136787,test
136793,train
136794,train
136799,train
136801,train
136810,test
136812,test
136814,validation
136816,train
136817,test
136818,train
136822,train
136831,train
136835,train
136836,train
136837,train
136839,validation
136852,train
136860,train
136874,train
136875,train
136883,train
136890,train
136909,train
136911,train
136929,test
136932,validation
136938,train
136939,validation
136941,train
136947,validation
136951,train
136953,train
136956,train
136968,validation
136969,validation
136972,validation
136978,validation
136993,validation
136998,test
137007,train
137008,test
137009,validation
137012,train
137013,test
137016,train
137028,train
137029,train
137031,test
137043,train
137045,validation
137046,validation
137048,train
137056,test
137057,train
137058,train
137060,train
137061,validation
137066,train
137068,train
137073,train
137076,train
137088,train
137090,test
137101,validation
137102,validation
137112,train
137119,train
137125,train
137132,test
137133,train
137137,train
137139,test
137141,train
137149,train
137153,test
137154,train
137157,train
137158,train
137159,train
137160,validation
137167,train
137180,train
137186,validation
137198,train
137207,train
137208,train
137227,train
137237,train
137243,train
137246,train
137249,train
137250,train
137255,train
137256,test
137258,train
137259,train
137272,train
137276,train
137281,test
137284,train
137286,validation
137302,train
137304,test
137305,train
137309,train
137316,train
137323,train
137333,train
137334,test
137342,validation
137346,train
137348,train
137355,test
137369,train
137374,train
137375,train
137387,test
137399,train
137402,train
137409,validation
137410,train
137411,train
137414,train
137428,train
137438,train
137440,train
137461,test
137468,train
137472,train
137480,validation
137482,train
137483,test
137493,train
137495,validation
137504,train
137524,train
137526,test
137531,validation
137532,validation
137537,train
137544,train
137545,train
137559,test
137567,train
137573,train
137580,train
137582,train
137585,train
137588,train
137593,train
137595,test
137603,validation
137607,train
137608,train
137613,train
137614,train
137615,train
137625,train
137626,test
137629,train
137631,train
137635,train
137641,test
137643,train
137649,train
137652,train
137653,validation
137659,test
137662,validation
137680,train
137686,train
137688,train
137694,train
137696,train
137700,train
137706,train
137711,train
137713,train
137718,train
137723,train
137725,validation
137730,validation
137748,train
137749,train
137752,train
137757,validation
137777,train
137790,test
137803,train
137808,train
137809,validation
137810,train
137811,validation
137818,train
137823,validation
137824,train
137829,train
137831,train
137833,train
137840,train
137845,train
137848,validation
137850,train
137856,test
137858,train
137860,test
137867,train
137869,test
137871,validation
137876,train
137879,train
137881,train
137890,train
137891,test
137900,train
137905,test
137906,train
137909,validation
137926,train
137932,validation
137933,train
137936,train
137950,train
137955,train
137962,train
137964,test
137965,validation
137970,train
137974,train
137975,train
137982,train
137985,train
137991,train
137996,train
137999,validation
138001,validation
138016,train
138021,train
138027,train
138031,train
138036,train
138037,train
138040,validation
138044,train
138053,train
138061,train
138064,test
138081,train
138089,validation
138094,train
138101,validation
138102,train
138108,train
138111,test
138116,train
138131,train
138132,train
138135,train
138138,train
138142,test
138147,train
138150,train
138153,test
138156,test
138159,test
138160,train
138162,validation
138167,test
138172,train
138178,test
138181,train
138194,train
138204,validation
138214,train
138218,validation
138219,train
138236,train
138239,test
138249,train
138250,train
138255,train
138258,train
138261,train
138270,validation
138271,train
138274,train
138276,train
138280,test
138286,train
138292,train
138302,train
138308,train
138338,train
138341,validation
138343,train
138350,train
138352,train
138357,train
138359,train
138364,test
138367,train
138372,test
138374,train
138378,train
138384,test
138385,validation
138389,train
138395,train
138401,train
138409,validation
138418,train
138425,train
138445,train
138447,train
138449,validation
138454,train
138458,train
138462,train
138469,validation
138473,test
138476,train
138481,validation
138485,test
138490,train
138498,train
138509,test
138510,test
138513,train
138516,train
138520,train
138521,train
138527,train
138533,train
138535,train
138542,validation
138543,train
138550,train
138551,train
138555,test
138571,train
138576,test
138603,train
138609,train
138613,train
138614,test
138617,train
138625,validation
138630,test
138633,train
138635,train
138647,train
138660,train
138664,train
138680,train
138694,train
138698,test
138703,train
138715,train
138727,test
138728,train
138729,train
138730,train
138731,validation
138733,train
138734,train
138736,train
138739,validation
138744,train
138750,train
138761,validation
138775,train
138777,validation
138783,validation
138785,validation
138792,validation
138806,train
138808,train
138809,train
138812,train
138815,train
138825,validation
138828,train
138830,train
138837,train
138841,train
138843,validation
138855,validation
138859,train
138870,train
138878,train
138880,train
138882,train
138883,train
138895,train
138896,train
138910,train
138913,train
138914,train
138918,train
138921,train
138928,test
138929,train
138930,train
138942,train
138947,validation
138949,train
138953,train
138955,validation
138956,validation
138964,validation
138965,train
138967,test
138971,train
138973,train
138983,train
138993,train
138997,train
139013,train
139016,train
139017,train
139033,train
139036,train
139037,train
139042,train
139044,train
139046,train
139047,train
139049,test
139074,validation
139076,validation
139079,test
139081,train
139092,train
139096,train
139104,train
139129,test
139132,train
139133,train
139140,train
139153,train
139156,train
139157,validation
139159,train
139161,train
139182,validation
139183,train
139184,train
139187,train
139196,train
139209,train
139213,train
139215,validation
139221,train
139224,train
139229,train
139233,train
139244,train
139252,train
139253,train
139256,train
139259,train
139264,train
139265,train
139266,test
139274,train
139287,test
139288,train
139300,train
139301,validation
139302,train
139303,train
139312,train
139314,train
139321,validation
139343,train
139351,validation
139356,validation
139359,test
139360,train
139361,validation
139370,train
139388,train
139389,train
139392,validation
139396,test
139398,train
139401,test
139404,train
139409,validation
139424,test
139426,train
139447,train
139450,train
139451,train
139464,train
139465,validation
139473,test
139494,train
139497,train
139498,train
139502,train
139508,train
139510,train
139514,train
139526,train
139527,test
139533,train
139537,test
139540,train
139548,test
139559,validation
139569,train
139571,train
139573,test
139593,train
139597,train
139605,train
139607,train
139608,train
139613,train
139638,train
139645,train
139650,train
139653,train
139658,train
139660,validation
139667,train
139674,train
139676,test
139677,train
139679,train
139682,train
139692,validation
139700,test
139707,train
139725,train
139727,train
139728,train
139731,train
139745,train
139752,train
139760,train
139764,validation
139774,train
139775,validation
139781,train
139786,train
139798,train
139799,test
139804,train
139814,train
139815,train
139817,train
139818,train
139819,train
139835,train
139846,validation
139854,train
139859,train
139867,validation
139871,train
139874,train
139881,train
139888,train
139889,test
139890,train
139903,train
139917,validation
139920,train
139921,train
139922,train
139936,validation
139937,train
139941,train
139942,train
139944,train
139948,train
139960,train
139969,train
139972,train
139983,train
140019,train
140020,test
140038,validation
140039,test
140042,train
140045,validation
140059,validation
140064,test
140069,train
140081,test
140088,test
140090,test
140102,test
140104,train
140106,validation
140110,train
140111,validation
140112,train
140117,train
140119,train
140121,test
140127,validation
140130,train
140137,train
140138,train
140139,train
140140,validation
140144,train
140148,train
140153,test
140155,train
140156,validation
140175,train
140180,validation
140183,train
140187,train
140191,test
140194,train
140201,train
140205,train
140221,train
140222,validation
140224,train
140226,test
140228,train
140232,train
140237,train
140243,test
140244,test
140246,test
140252,validation
140262,validation
140265,validation
140266,train
140281,train
140288,train
140293,train
140299,train
140303,test
140304,train
140311,train
140313,train
140316,test
140322,train
140327,train
140329,train
140341,validation
140346,train
140352,test
140363,test
140369,test
140371,train
140379,train
140384,train
140387,validation
140398,test
140400,train
140401,train
140408,train
140412,train
140417,train
140418,validation
140422,test
140423,validation
140425,train
140428,train
140430,train
140443,train
140446,test
140449,validation
140471,train
140473,train
140478,validation
140482,train
140492,train
140495,train
140498,train
140505,validation
140509,train
140512,validation
140521,train
140523,test
140525,test
140526,train
140529,train
140531,train
140547,train
140554,train
140558,train
140559,train
140561,validation
140562,train
140578,test
140580,train
140582,train
140584,train
140609,validation
140621,train
140627,train
140628,train
140629,validation
140631,train
140639,train
140641,train
140644,train
140646,train
140658,train
140663,validation
140664,validation
140667,validation
140672,train
140682,test
140686,train
140698,train
140706,train
140707,train
140726,train
140731,train
140741,train
140742,validation
140748,test
140749,test
140752,train
140757,train
140760,train
140762,validation
140767,test
140771,train
140777,train
140783,train
140794,train
140797,train
140803,train
140806,test
140807,validation
140812,train
140818,train
140823,train
140824,test
140827,train
140829,train
140833,train
140834,test
140850,test
140853,train
140854,train
140862,train
140869,train
140877,test
140878,train
140884,test
140892,train
140893,validation
140895,train
140897,train
140904,train
140905,train
140909,train
140910,train
140914,train
140920,train
140935,train
140938,train
140947,train
140948,train
140950,train
140953,train
140961,test
140968,train
140978,train
140995,test
141001,train
141003,test
141017,validation
141030,test
141041,train
141043,train
141047,train
141048,test
141060,train
141061,test
141067,validation
141069,train
141070,test
141072,test
141095,validation
141096,train
141102,train
141110,train
141117,validation
141130,train
141139,train
141141,train
141144,train
141145,train
141165,train
141166,test
141168,validation
141172,train
141179,test
141183,train
141189,test
141196,train
141197,validation
141205,validation
141211,train
141214,train
141221,train
141223,train
141224,validation
141225,train
141227,test
141248,train
141263,train
141270,validation
141271,train
141273,validation
141274,train
141275,train
141285,validation
141292,train
141294,train
141295,validation
141296,test
141302,test
141307,validation
141317,train
141319,train
141324,validation
141328,test
141335,train
141339,train
141353,train
141355,train
141365,train
141374,train
141375,train
141385,train
141386,train
141387,train
141393,train
141396,train
141401,train
141405,train
141407,validation
141408,train
141413,train
141417,train
141422,validation
141444,train
141459,train
141465,train
141476,validation
141479,test
141500,test
141503,test
141505,validation
141506,test
141507,test
141521,train
141525,validation
141537,train
141538,train
141540,train
141547,train
141563,validation
141568,validation
141573,train
141574,test
141576,test
141579,train
141583,train
141585,train
141588,train
141602,train
141611,validation
141612,train
141614,train
141628,train
141631,train
141634,validation
141635,train
141642,validation
141645,train
141646,train
141648,test
141655,test
141660,train
141663,train
141665,validation
141669,train
141675,train
141684,validation
141691,train
141709,train
141710,train
141714,train
141721,validation
141722,train
141723,train
141728,train
141731,train
141735,test
141739,train
141741,train
141742,validation
141745,test
141750,train
141756,test
141762,validation
141763,train
141765,test
141768,train
141770,train
141790,validation
141791,train
141793,validation
141795,train
141799,train
141802,train
141824,train
141839,train
141840,train
141842,train
141845,train
141846,train
141847,train
141850,train
141860,train
141867,test
141869,train
141872,train
141877,train
141884,test
141886,validation
141895,train
141899,validation
141908,validation
141910,train
141916,train
141918,train
141923,train
141928,validation
141952,train
141953,validation
141954,train
141961,test
141963,train
141967,test
141976,train
141986,train
141987,train
141999,train
142002,train
142013,train
142015,train
142030,train
142032,train
142037,validation
142038,validation
142042,test
142045,test
142047,validation
142049,test
142052,validation
142055,test
142058,train
142060,validation
142062,train
142068,validation
142074,train
142078,train
142084,train
142088,train
142110,train
142112,train
142117,train
142118,validation
142132,train
142152,validation
142156,train
142157,train
142168,train
142170,train
142179,train
142185,train
142208,train
142212,train
142213,test
142216,train
142219,test
142225,train
142242,train
142253,train
142255,test
142258,train
142259,train
142263,train
142264,train
142280,train
142283,train
142288,train
142289,train
142295,train
142300,train
142301,train
